zone_code,window_start,window_end,window_center,n_events,mc
Z1,2007.77,2012.77,2010.27,613,2.500000000000001
Z1,2008.77,2013.77,2011.27,887,4.100000000000002
Z1,2009.77,2014.77,2012.27,1198,4.3000000000000025
Z1,2010.77,2015.77,2013.27,1443,4.3000000000000025
Z1,2011.77,2016.77,2014.27,1699,4.3000000000000025
Z1,2012.77,2017.77,2015.27,1690,4.3000000000000025
Z1,2013.77,2018.77,2016.27,1798,4.3000000000000025
Z1,2014.77,2019.77,2017.27,1857,4.3000000000000025
Z1,2015.77,2020.77,2018.27,1864,4.3000000000000025
Z1,2016.77,2021.77,2019.27,1968,4.3000000000000025
Z1,2017.77,2022.77,2020.27,2194,4.200000000000003
Z1,2018.77,2023.77,2021.27,2369,4.200000000000003
Z1,2019.77,2024.77,2022.27,2457,4.200000000000003
Z1,2020.77,2025.77,2023.27,4741,2.300000000000001
Z1,2021.77,2026.77,2024.27,5187,2.300000000000001
Z1,2022.77,2027.77,2025.27,4659,2.300000000000001
Z1,2023.77,2028.77,2026.27,4071,2.300000000000001
Z1,2024.77,2029.77,2027.27,3569,2.300000000000001
Z1,2025.77,2030.77,2028.27,894,2.200000000000001
Z2,2007.86,2012.86,2010.36,586,4.599999999999998
Z2,2008.86,2013.86,2011.36,852,4.599999999999998
Z2,2009.86,2014.86,2012.36,1215,4.499999999999998
Z2,2010.86,2015.86,2013.36,1501,4.4
Z2,2011.86,2016.86,2014.36,1803,4.4
Z2,2012.86,2017.86,2015.36,1444,4.4
Z2,2013.86,2018.86,2016.36,1443,4.4
Z2,2014.86,2019.86,2017.36,1362,4.4
Z2,2015.86,2020.86,2018.36,1317,4.4
Z2,2016.86,2021.86,2019.36,1323,4.4
Z2,2017.86,2022.86,2020.36,1383,4.4
Z2,2018.86,2023.86,2021.36,1400,4.4
Z2,2019.86,2024.86,2022.36,1359,4.4
Z2,2020.86,2025.86,2023.36,1297,4.4
Z2,2021.86,2026.86,2024.36,1168,4.300000000000001
Z2,2022.86,2027.86,2025.36,883,4.300000000000001
Z2,2023.86,2028.86,2026.36,599,4.300000000000001
Z2,2024.86,2029.86,2027.36,358,4.200000000000001
Z2,2025.86,2030.86,2028.36,179,4.200000000000001
Z3,2007.01,2012.01,2009.51,735,3.1999999999999993
Z3,2008.01,2013.01,2010.51,989,3.1999999999999993
Z3,2009.01,2014.01,2011.51,1268,4.499999999999999
Z3,2010.01,2015.01,2012.51,2468,2.7999999999999994
Z3,2011.01,2016.01,2013.51,2762,2.7999999999999994
Z3,2012.01,2017.01,2014.51,2844,4.299999999999999
Z3,2013.01,2018.01,2015.51,3118,2.3999999999999995
Z3,2014.01,2019.01,2016.51,3372,2.3999999999999995
Z3,2015.01,2020.01,2017.51,2939,2.300000000000001
Z3,2016.01,2021.01,2018.51,3011,2.300000000000001
Z3,2017.01,2022.01,2019.51,3195,2.3999999999999995
Z3,2018.01,2023.01,2020.51,4776,2.3999999999999995
