group_type,group_value,mag_type,count
network,TMD,ML(TMD),15374
network,USGS/OFFICIAL,mw,1
network,USGS/US,Mb,1
network,USGS/US,mb,43608
network,USGS/US,ml,62
network,USGS/US,mwb,126
network,USGS/US,mwc,59
network,USGS/US,mwr,584
network,USGS/US,mww,2691
zone,Unclassified,ML(TMD),183
zone,Unclassified,mb,4275
zone,Unclassified,ml,2
zone,Unclassified,mwb,13
zone,Unclassified,mwc,7
zone,Unclassified,mwr,3
zone,Unclassified,mww,327
zone,Z1,ML(TMD),58
zone,Z1,mb,2863
zone,Z1,mw,1
zone,Z1,mwb,19
zone,Z1,mwc,6
zone,Z1,mwr,5
zone,Z1,mww,171
zone,Z2,ML(TMD),162
zone,Z2,mb,1327
zone,Z2,ml,3
zone,Z2,mwb,7
zone,Z2,mwc,5
zone,Z2,mwr,6
zone,Z2,mww,79
zone,Z3,mb,4992
zone,Z3,ml,1
zone,Z3,mwb,5
zone,Z3,mwc,1
zone,Z3,mwr,2
zone,Z3,mww,276
zone,Z4,ML(TMD),6536
zone,Z4,mb,2413
zone,Z4,ml,13
zone,Z4,mwb,15
zone,Z4,mwc,4
zone,Z4,mwr,11
zone,Z4,mww,164
zone,Z5,ML(TMD),8435
zone,Z5,mb,199
zone,Z5,ml,3
zone,Z5,mwr,3
zone,Z5,mww,16
zone,Z6,mb,11891
zone,Z6,ml,40
zone,Z6,mwb,31
zone,Z6,mwc,21
zone,Z6,mwr,552
zone,Z6,mww,900
zone,Z7,Mb,1
zone,Z7,mb,15648
zone,Z7,mwb,36
zone,Z7,mwc,15
zone,Z7,mwr,2
zone,Z7,mww,758
