place,count
"Bonin Islands, Japan region",357
"มณฑลยูนนาน, ประเทศจีน",80
"southwest of Sumatra, Indonesia",35
"Ryukyu Islands, Japan",28
ยูนนาน ประเทศจีน,28
"Volcano Islands, Japan region",17
มณฑลยูนนาน ประเทศจีน,14
"138 km WNW of Naha, Japan",10
"ยูนนาน, ประเทศจีน",9
"134 km WNW of Naha, Japan",8
"136 km WNW of Naha, Japan",8
"140 km WNW of Naha, Japan",8
พรมแดนพม่า-จีน,7
northeast of Taiwan,7
"143 km WNW of Naha, Japan",7
"160 km E of Nago, Japan",7
"129 km WNW of Naha, Japan",7
"139 km WNW of Naha, Japan",7
"144 km WNW of Naha, Japan",7
"145 km WNW of Naha, Japan",6
พรมแดนประเทศพม่า-จีน,6
"131 km WSW of Naze, Japan",6
"161 km ESE of Nago, Japan",6
"137 km WNW of Naha, Japan",6
"147 km WNW of Naha, Japan",6
"135 km WNW of Naha, Japan",6
"142 km WNW of Naha, Japan",6
"126 km WNW of Naha, Japan",5
"78 km SE of Katsuren-haebaru, Japan",5
"162 km E of Nago, Japan",5
